AllDepartments,Areas,Building,CoursePrefix,Credits,DOW,DOWSort,Department,HasBio,InstructionMethod,Instructors,InstructorsFullName,IsWritingIntensive,Level,Location,MaxSeats,Meetings,OfferingName,OpenSeats,Repeatable,SSS_SectionsID,SchoolName,SeatsAvailable,SectionCoReqNotes,SectionCoRequisites,SectionDetails,SectionName,SectionRegRestrictions,Status,SubDepartment,Term,TermStartDate,Term_IDR,Term_JSS,TimeOfDay,Title,Waitlisted
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,D. Naiman,"Naiman, Dan Q",No,Lower Level Undergraduate,Homewood Campus,40,,EN.553.101,33,N,743062,Whiting School of Engineering,33/40,,,,01,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,0
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,F. Santosa,"Santosa, Fadil",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,16,N,743063,Whiting School of Engineering,16/20,,,,02,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,P. Bedekar,"Bedekar, Prajakta Purushottam",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,16,N,743064,Whiting School of Engineering,16/20,,,,03,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,In-person,D. Fishkind,"Fishkind, Donniell",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,14,N,743065,Whiting School of Engineering,14/20,,,,04,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,,A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,17,N,743066,Whiting School of Engineering,17/20,,,,05,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,,B. Grimmer,"Grimmer, Ben",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,16,N,743067,Whiting School of Engineering,16/20,,,,06,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,Q,,EN,1.00,0,99,EN Applied Mathematics & Statistics,,,S. Zhang,"Zhang, Siqi",No,Lower Level Undergraduate,Homewood Campus,20,,EN.553.101,16,N,743068,Whiting School of Engineering,16/20,,,,07,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Freshman Experience in Applied Mathematics & Statistics,N/A
EN Applied Mathematics & Statistics,EQ,"Hodson, Latrobe",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Titi,"Titi, Aseel",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 1:30PM - 2:20PM",EN.553.111,6,N,743886,Whiting School of Engineering,6/19,,,,01,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Statistical Analysis I,0
EN Applied Mathematics & Statistics,EQ,"Hodson, Maryland",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Titi,"Titi, Aseel",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 3:00PM - 3:50PM",EN.553.111,6,N,743887,Whiting School of Engineering,6/19,,,,02,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Statistical Analysis I,0
EN Applied Mathematics & Statistics,Q,"Hodson, Krieger",EN,4.00,29,01^09:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 9:00AM - 9:50AM, Th 12:00PM - 12:50PM",EN.553.171,12,N,743888,Whiting School of Engineering,12/25,,,,01,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Discrete Mathematics,0
EN Applied Mathematics & Statistics,Q,Hodson,EN,4.00,29,01^09:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Nakade,"Nakade, Apurva",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 9:00AM - 9:50AM, Th 1:30PM - 2:20PM",EN.553.171,5,N,743889,Whiting School of Engineering,5/24,,,,02,,Closed,,Fall 2023,8/28/2023 12:00:00 AM,Fall 2023,Fall 2023,Other,Discrete Mathematics,0
