AllDepartments,Areas,Building,CoursePrefix,Credits,DOW,DOWSort,Department,HasBio,InstructionMethod,Instructors,InstructorsFullName,IsWritingIntensive,Level,Location,MaxSeats,Meetings,OfferingName,OpenSeats,Repeatable,SSS_SectionsID,SchoolName,SeatsAvailable,SectionCoReqNotes,SectionCoRequisites,SectionDetails,SectionName,SectionRegRestrictions,Status,SubDepartment,Term,TermStartDate,Term_IDR,Term_JSS,TimeOfDay,Title,Waitlisted
EN Applied Mathematics & Statistics,EQ,"Hodson, Maryland",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Titi,"Titi, Aseel",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 9:00AM - 9:50AM",EN.553.111,7,N,727216,Whiting School of Engineering,7/19,,,,01,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Statistical Analysis I,0
EN Applied Mathematics & Statistics,EQ,"Gilman, Hodson",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",A. Titi,"Titi, Aseel",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 10:30AM - 11:20AM",EN.553.111,3,N,727217,Whiting School of Engineering,3/19,,,,02,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Statistical Analysis I,0
EN Applied Mathematics & Statistics,EQ,"Hodson, Shriver Hall",EN,4.00,29,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",F. Torcaso,"Torcaso, Fred",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 11:00AM - 11:50AM, Th 10:30AM - 11:20AM",EN.553.112,9,N,727220,Whiting School of Engineering,9/19,,,,01,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Statistical Analysis II,0
EN Applied Mathematics & Statistics,Q,"Hodson, Shaffer",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",B. Castello,"Castello, Beryl",No,Lower Level Undergraduate,Homewood Campus,19,"MWF 10:00AM - 10:50AM, Th 9:00AM - 9:50AM",EN.553.171,8,N,727222,Whiting School of Engineering,8/19,,,,01,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Discrete Mathematics,0
EN Applied Mathematics & Statistics,Q,"Krieger, Shaffer",EN,4.00,29,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",B. Castello,"Castello, Beryl",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, Th 12:00PM - 12:50PM",EN.553.171,6,N,727223,Whiting School of Engineering,6/24,,,,02,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Other,Discrete Mathematics,0
EN Applied Mathematics & Statistics,Q,"Maryland, Shaffer",EN,4.00,23,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",N. Drenska,"Drenska, Nadejda",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 10:00AM - 10:50AM, T 9:00AM - 9:50AM",EN.553.211,3,N,727260,Whiting School of Engineering,3/24,,,,01,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,Q,"Hodson, Shaffer",EN,4.00,23,01^10:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",N. Drenska,"Drenska, Nadejda",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 10:00AM - 10:50AM, T 10:30AM - 11:20AM",EN.553.211,8,N,727261,Whiting School of Engineering,8/25,,,,02,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Morning,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,Q,"Krieger, Maryland",EN,4.00,23,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",Z. Pisano,"Pisano, Zachary M",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 11:00AM - 11:50AM, T 12:00PM - 12:50PM",EN.553.211,2,N,727262,Whiting School of Engineering,2/24,,,,03,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,Q,"Bloomberg, Maryland",EN,4.00,23,01^11:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",Z. Pisano,"Pisano, Zachary M",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 11:00AM - 11:50AM, T 1:30PM - 2:20PM",EN.553.211,2,N,727263,Whiting School of Engineering,2/25,,,,04,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Other,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,Q,"Croft Hall, Maryland",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",Z. Pisano,"Pisano, Zachary M",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 12:00PM - 12:50PM, T 3:00PM - 3:50PM",EN.553.211,2,N,727264,Whiting School of Engineering,2/24,,,,05,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Afternoon,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,Q,"Krieger, Maryland",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",Z. Pisano,"Pisano, Zachary M",No,Lower Level Undergraduate,Homewood Campus,25,"MWF 12:00PM - 12:50PM, T 4:30PM - 5:20PM",EN.553.211,2,N,727265,Whiting School of Engineering,2/25,,,,06,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Afternoon,Probability and Statistics for the Life Sciences,0
EN Applied Mathematics & Statistics,EQ,"Krieger, Maryland",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",S. Kushnarev,"Kushnarev, Sergey",No,Lower Level Undergraduate,Homewood Campus,23,"MWF 12:00PM - 12:50PM, T 12:00PM - 12:50PM",EN.553.291,1,N,727226,Whiting School of Engineering,1/23,,,,01,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Afternoon,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,EQ,"Hodson, Maryland",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",S. Kushnarev,"Kushnarev, Sergey",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 12:00PM - 12:50PM, T 1:30PM - 2:20PM",EN.553.291,3,N,727227,Whiting School of Engineering,3/24,,,,02,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Afternoon,Linear Algebra and Differential Equations,0
EN Applied Mathematics & Statistics,EQ,"Krieger, Mergenthaler",EN,4.00,23,01^12:00:00,EN Applied Mathematics & Statistics,,"In-person, In-person",P. Bedekar,"Bedekar, Prajakta",No,Lower Level Undergraduate,Homewood Campus,24,"MWF 12:00PM - 12:50PM, T 3:00PM - 3:50PM",EN.553.291,3,N,727228,Whiting School of Engineering,3/24,,,,03,,Closed,,Spring 2023,1/23/2023 12:00:00 AM,Spring 2023,Spring 2023,Afternoon,Linear Algebra and Differential Equations,0
